jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
90,35,盒8上,4070,82.3,2.5,24.4,66.2,1.8,7.4,1.3,199.4,13,2.7,71.8,59.9,1
90,35,盒8上,4070.1,82,2.4,24.4,66.9,1.6,7.5,1.4,198.9,13.2,2.7,71.6,61.5,1
90,35,盒8上,4070.2,81.8,2.4,24.6,70.1,1.6,7.3,1.4,199.3,13.5,2.6,71.1,63.3,1
90,35,盒8上,4070.3,81.6,2.5,24.7,71.4,1.8,6.9,1.3,199.7,13.9,2.6,74.8,67.8,1
90,35,盒8上,4070.5,81.5,2.6,24.7,68.4,1.9,6.5,1.3,198.5,13.1,2.6,86,78.2,1
90,35,盒8上,4070.6,81.3,2.7,24.7,63.9,2,6.1,1.2,195.6,12.1,2.7,110.3,97.1,1
90,35,盒8上,4070.7,81.2,2.7,24.7,57.5,1.9,5.9,1.1,192.4,11.5,2.7,137.1,118.5,1
90,35,盒8上,4070.8,81.1,2.8,24.7,52.5,1.7,6.3,1,190.1,11.3,2.7,160.9,134.2,1
90,35,盒8上,4071,81,2.9,24.5,51.6,1.3,7.1,1,189.2,11.4,2.7,174.2,132.1,1
90,35,盒8上,4071.1,80.9,3.1,24.4,54.3,1.1,8.2,1,191.2,12.2,2.7,148.7,106.3,1
90,35,盒8上,4071.2,80.8,3,24.5,60.6,1,9.4,1.1,197.6,14,2.7,100.6,74.8,1
90,35,盒8上,4071.3,80.8,2.9,24.6,69,1.3,10.3,1.1,206.6,17,2.6,67.5,53,1
90,35,盒8上,4071.5,80.8,2.8,24.6,77.7,1.9,10.5,1.2,214.6,20.1,2.6,46.8,39,1
90,35,盒8上,4071.6,80.8,2.8,24.5,85.9,2.5,10.2,1.4,220.3,22.3,2.6,36.7,32.3,1
90,36,盒8上,4086.5,80.6,2.6,24.3,82.5,2.9,8,1.4,184.2,11.3,2.6,252,226.8,1
90,36,盒8上,4086.6,80.2,2.7,24.3,72.8,3.1,6.5,1.2,183.8,11,2.6,239.3,205,1
90,36,盒8上,4086.7,79.9,2.8,24.4,66.7,3.3,5.3,1,184.4,10.8,2.6,189.5,155.7,1
90,36,盒8上,4086.8,79.7,2.9,24.4,61.9,3.4,4.6,0.9,187.1,11.1,2.7,131.7,110.9,1
90,36,盒8上,4087,79.6,3,24.5,60.1,3.3,4.9,0.8,192.4,11.8,2.7,88.4,77.9,1
90,36,盒8上,4087.1,79.6,3,24.7,60.6,3.2,5.7,0.8,198.6,13.4,2.7,61.6,56.6,1
90,36,盒8上,4087.2,79.7,3,24.8,62.9,3.1,7.1,0.8,203.6,15.8,2.7,47.1,45.3,1
90,36,盒8上,4087.3,79.8,3,24.9,69.2,3.3,8.4,0.9,206.5,18.5,2.7,41.7,40.7,1
90,36,盒8上,4087.5,80,3,24.9,79.4,3.5,9.4,0.9,208.2,20.7,2.7,40.3,39.3,1
90,36,盒8上,4087.6,80.3,3,25,91.1,3.9,10.1,1.1,210.8,21.8,2.7,40,38.7,1
90,36,盒8上,4087.7,80.5,2.9,25,101.1,4.2,10.3,1.3,214.7,22.4,2.7,39.8,38.3,1
90,37,盒8上,4091.8,75.8,2.6,24.5,99.1,4.8,10.5,0.7,189.4,21.5,2.6,77.6,78.8,1
90,37,盒8上,4092,75.3,2.8,24.3,76.7,3.9,8.7,0.7,188.8,18.2,2.6,77.9,75,1
90,37,盒8上,4092.1,74.9,2.9,24.2,55.8,2.9,6.9,0.7,189.5,15.2,2.6,69.7,62.6,1
90,37,盒8上,4092.2,74.4,2.9,24.2,42.2,1.9,5.7,0.7,190.9,13.1,2.6,55.4,47.8,1
90,37,盒8上,4092.3,74,2.9,24.2,36.4,1.1,4.9,0.8,194.2,12.1,2.6,41.1,34.3,1
90,37,盒8上,4092.5,73.6,2.9,24.2,35.9,0.7,4.5,0.8,199.8,11.9,2.6,28.9,23.9,1
90,37,盒8上,4092.6,73.2,3,24.2,35.9,0.5,4.5,0.8,206.6,12.2,2.6,20.4,16.9,1
90,37,盒8上,4092.7,72.9,2.8,24.2,35.7,0.5,4.5,0.8,212.7,12.4,2.5,15.7,13.1,1
90,37,盒8上,4092.8,72.6,2.6,24.2,34.6,0.7,4.4,0.7,216.8,12.4,2.5,13.5,11.3,1
90,37,盒8上,4093,72.4,2.3,24.2,33.2,0.9,4.2,0.6,219,12.2,2.5,12.8,10.8,1
90,37,盒8上,4093.1,72.2,2.1,24.3,32.8,1.1,4,0.5,219.4,11.9,2.4,13.7,11.5,1
90,37,盒8上,4093.2,72,2,24.3,33,1.3,3.9,0.5,217.3,11.4,2.4,15.7,13.3,1
90,37,盒8上,4093.3,71.9,2,24.3,33.6,1.4,3.9,0.5,212.3,10.9,2.4,19,16.1,1
90,37,盒8上,4093.5,71.9,2,24.2,33.8,1.5,3.9,0.5,206.1,10.6,2.5,23.7,20.2,1
90,37,盒8上,4093.6,71.9,2,24.2,34.6,1.6,4,0.5,200.9,10.8,2.5,29.2,25.2,1
