jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
37,53,2-盒8下,3900.0869,47.097,2.0583,24.7355,48.5885,1.8204,9.028,0.6671,233.1571,7.7573,2.4891,75.239,104.9944,1
37,53,2-盒8下,3900.2119,47.6149,2.0473,24.7285,53.4708,1.6187,8.9593,0.6512,231.2307,6.6931,2.4841,76.0371,105.7212,1
37,53,2-盒8下,3900.3369,48.2564,2.0515,24.6971,57.354,1.5325,9.0286,0.6487,229.4679,6.4584,2.4726,76.5206,106.1976,1
37,53,2-盒8下,3900.4619,48.9457,2.0748,24.682,56.8291,1.5096,8.9382,0.6486,228.163,6.3722,2.4644,76.3754,105.9053,1
37,53,2-盒8下,3900.5869,49.643,2.0689,24.6719,52.3954,1.4557,8.3179,0.6128,226.9335,6.4495,2.4642,75.189,104.4113,1
37,53,2-盒8下,3900.7119,50.3028,2.0403,24.7097,47.8466,1.4199,7.6512,0.5836,225.9327,6.4285,2.4704,73.5931,102.044,1
37,53,2-盒8下,3900.8369,50.9963,2.0093,24.7339,42.8588,1.3381,7.085,0.5721,226.0534,6.1658,2.4819,72.9797,99.8972,1
37,53,2-盒8下,3900.9619,51.7423,1.9975,24.7408,36.8629,1.2091,6.6297,0.5567,226.9467,5.9494,2.4881,72.7566,98.1667,1
37,53,2-盒8下,3901.0869,52.5341,2.002,24.8661,33.6144,1.1041,6.2326,0.5405,227.3457,5.7194,2.4892,72.966,96.1858,1
37,53,2-盒8下,3901.2119,53.3736,2.0174,25.1566,36.4241,1.0991,5.7557,0.5236,226.5731,5.4514,2.4871,72.3077,91.5733,1
37,53,2-盒8下,3901.3369,54.2394,1.9958,25.6322,42.6531,1.1729,5.6592,0.5448,225.7105,5.3775,2.4941,68.1401,84.3375,1
37,53,2-盒8下,3901.4619,55.1178,1.9265,26.0622,50.1937,1.2969,5.7772,0.5985,225.6304,6.0015,2.5161,62.6718,76.6993,1
37,53,2-盒8下,3901.5869,55.9938,1.8369,26.6172,57.7149,1.5216,6.3298,0.7222,225.203,7.5001,2.5431,57.9709,69.7315,1
37,53,2-盒8下,3901.7119,56.8592,1.8266,27.0905,64.2759,1.8141,7.4248,0.9264,224.3238,8.4056,2.5319,53.8413,63.5972,1
37,53,2-盒8下,3901.8369,57.6934,1.9216,27.3533,73.0294,2.0287,8.3685,1.1286,222.7687,9.5991,2.4681,50.9409,58.2387,1
37,53,2-盒8下,3901.9619,58.474,2.0403,27.3854,81.1064,2.2429,9.033,1.2965,219.3898,11.1964,2.3944,47.3057,50.878,1
37,53,2-盒8下,3902.0869,59.1959,2.1203,27.365,81.4809,2.4663,9.4373,1.4075,216.6091,12.862,2.3704,38.9454,39.644,1
37,53,2-盒8下,3902.2119,59.8396,2.1768,27.4083,78.9885,2.6062,9.4558,1.4296,218.0288,14.4775,2.4251,28.664,29.1914,1
37,66,8-克里摩里组,4200.8369,53.296,4.5175,24.5577,26.8765,1.6846,3.0206,0.8092,165.0193,1.1023,2.6962,993.2795,2587.51,4
37,66,8-克里摩里组,4200.9619,53.1842,4.62,24.5823,27.2374,1.349,2.3041,0.6186,163.0846,0.7232,2.6918,988.7338,2555.863,4
37,66,8-克里摩里组,4201.0869,53.1018,4.7655,24.5898,26.1045,1.2875,2.0446,0.5612,162.0084,0.5516,2.6958,1033.4922,2547.0334,4
37,66,8-克里摩里组,4201.2119,53.0361,4.9486,24.6113,23.7111,1.3271,1.839,0.5321,161.1179,0.5248,2.6968,1130.0868,2573.3267,4
37,66,8-克里摩里组,4201.3369,52.9784,5.0609,24.6498,22.2902,1.4019,1.6625,0.5193,160.0805,0.4685,2.6907,1316.715,2737.3896,4
37,66,8-克里摩里组,4201.4619,52.9442,5.0501,24.6845,20.0693,1.4585,1.4637,0.5082,159.0577,0.4311,2.691,1478.0145,2690.0427,4
37,66,8-克里摩里组,4201.5869,52.9164,4.9425,24.697,15.8251,1.4056,1.2514,0.4666,158.5711,0.497,2.6943,1341.7511,2311.6599,4
37,66,8-克里摩里组,4201.7119,52.9186,4.8297,24.6898,12.7651,1.2673,1.1262,0.4159,159.3341,0.725,2.6933,1231.2815,2119.2866,4
37,66,8-克里摩里组,4201.8369,52.9345,4.8024,24.7208,13.0438,1.1541,1.1065,0.3789,161.2059,0.9248,2.692,1203.1921,2018.2502,4
37,66,8-克里摩里组,4201.9619,52.9721,4.7823,24.7938,14.3731,1.0746,1.1505,0.3456,163.2961,1.1028,2.6666,1085.3945,1848.5011,4
37,67,8-克里摩里组,4202.0869,53.029,4.6693,24.8678,14.4697,1.0165,1.1632,0.3141,165.2226,1.3609,2.6172,994.3666,1741.0183,4
37,67,8-克里摩里组,4202.2119,53.109,4.5035,24.9964,14.7133,0.9714,1.1613,0.2939,167.7614,1.5516,2.5695,979.1235,1759.6387,4
37,67,8-克里摩里组,4202.3369,53.2347,4.4547,24.9379,15.2422,0.9199,1.1509,0.2839,170.2896,1.6741,2.5439,889.1126,1770.5588,4
37,67,8-克里摩里组,4202.4619,53.3996,4.5398,25.0016,15.1982,0.86,1.1359,0.2807,172.1126,1.8528,2.5378,819.027,1748.6849,4
37,67,8-克里摩里组,4202.5869,53.6059,4.6649,25.2575,15.7858,0.7822,1.1208,0.2899,172.9678,2.008,2.544,810.3179,1792.6603,4
37,67,8-克里摩里组,4202.7119,53.8601,4.7477,25.6184,17.0641,0.7241,1.1829,0.3173,171.5913,1.9181,2.5661,846.8795,1844.265,4
37,67,8-克里摩里组,4202.8369,54.1971,4.8109,25.5977,17.5743,0.7598,1.3106,0.3702,168.2151,1.8757,2.6038,946.4686,1908.8855,4
37,70,8-克里摩里组,4269.9619,59.728,3.3232,24.2999,24.3631,2.2142,1.1569,0.2399,163.7391,7.7436,2.673,204.346,317.7952,4
37,70,8-克里摩里组,4270.0869,59.7592,3.1928,24.2724,22.6708,2.1668,1.0556,0.2315,165.7168,8.4359,2.6705,188.3359,288.9569,4
37,70,8-克里摩里组,4270.2119,59.7656,3.1958,24.2721,22.4327,2.2326,1.0654,0.2271,167.2785,8.8158,2.665,182.7457,284.3509,4
37,70,8-克里摩里组,4270.3369,59.7349,3.276,24.2725,23.7134,2.3569,1.1064,0.2295,168.2164,9.1093,2.6625,190.0536,302.9054,4
37,70,8-克里摩里组,4270.4619,59.7056,3.3736,24.2784,25.1204,2.5652,1.2199,0.2318,167.772,8.8588,2.6549,207.9935,340.9178,4
37,70,8-克里摩里组,4270.5869,59.687,3.4342,24.2724,26.5867,2.7212,1.2928,0.2312,166.2013,8.3684,2.6667,239.5224,405.8568,4
37,70,8-克里摩里组,4270.7119,59.6721,3.4529,24.2886,29.1273,2.754,1.2943,0.2354,164.5164,7.5528,2.7023,287.3724,512.7722,4
37,70,8-克里摩里组,4270.8369,59.6464,3.4435,24.327,30.2927,2.796,1.331,0.2424,163.5371,6.5631,2.7371,333.584,643.8317,4
37,70,8-克里摩里组,4270.9619,59.6128,3.4985,24.3768,29.2553,2.8086,1.3854,0.2567,163.7814,5.3121,2.7528,373.3038,786.3101,4
37,70,8-克里摩里组,4271.0869,59.6412,3.7428,24.4184,29.7332,2.7882,1.4656,0.2788,164.7901,4.1356,2.7574,414.3265,957.9839,4
37,68,8-克里摩里组,4202.9619,54.6278,4.8817,25.1921,19.5971,0.825,1.5054,0.4463,165.4017,2.0133,2.6526,1059.6515,1985.8864,4
37,68,8-克里摩里组,4203.0869,55.1154,4.9476,24.8603,24.7307,0.9646,1.7618,0.5392,165.1315,2.2163,2.6839,1161.7612,1976.7654,4
37,68,8-克里摩里组,4203.2119,55.5904,4.94,24.7136,28.9083,1.1337,2.0524,0.6232,166.8394,2.2349,2.6928,1220.2706,1901.4852,4
37,68,8-克里摩里组,4203.3369,55.9671,4.8636,24.6463,28.483,1.2408,2.252,0.671,167.9261,2.2021,2.6973,1251.3151,1784.8947,4
37,68,8-克里摩里组,4203.4619,56.2781,4.7932,24.5309,24.1914,1.245,2.2604,0.6653,167.192,2.2228,2.7106,1210.9481,1416.8295,4
37,68,8-克里摩里组,4203.5869,56.5154,4.7829,24.4964,19.8978,1.1096,2.0646,0.5991,167.2533,1.8932,2.7299,843.0977,836.3848,4
